key	section	english	odia
approach.approachBody	Approach	Odia-friendly guidance where it helps, English practice where it counts—so you build fluency for exams, interviews, and everyday conversation.	ଦରକାର ଥିଲେ ଓଡ଼ିଆ ସହାୟତା, ଗୁରୁତ୍ୱ ଥିଲେ ଇଂରାଜୀ ଅଭ୍ୟାସ—ଯାହା ଆପଣଙ୍କୁ ପରୀକ୍ଷା, ସାକ୍ଷାତ ଓ ଦୈନ୍ୟ ବ୍ୟବହାରରେ ଦକ୍ଷ କରିଥାଏ।
approach.approachTitle	Approach	The E-talk approach	ଇ-ଟକ୍ ର ଉପାୟ
approach.gapBody	Approach	Pure English-only explanations can feel abstract. You end up translating twice—from lesson to Odia, then back to English for real life.	ଶୁଦ୍ଧ ଇଂରାଜୀ ବ୍ୟାଖ୍ୟା ଅସ୍ପଷ୍ଟ ଲାଗୁଥାଏ। ଆପଣ ଦୁଇ ଥର ଅନୁବାଦ କରୁଥାଆନ୍ତି—ପ୍ରଥମେ ଓଡ଼ିଆ, ଆଉ ତାପରେ ଇଂରାଜୀ।
approach.gapTitle	Approach	The gap	ଅଭାବ
approach.heading	Approach	Why learners need a different kind of app	ଶିଖ୍ୟାର୍ଥୀଙ୍କ ଏକ ଭିନ୍ନ ଆପ ଦରକାର କାହିଁକି
approach.subhead	Approach	Many English tools assume you already think in English. That extra mental step slows you down and kills confidence.	ଅଧିକାଂଶ ଇଂରାଜୀ ଉପକରଣ ଧରି ନିଅନ୍ତି ଆପଣ ଇଂରାଜୀରେ ଭାବନ୍ତି। ଏହି ଅତିରିକ୍ତ ମାନସିକ ପଦକ୍ଷେପ ଆପଣଙ୍କ ଗତି ଆଟକାଇ ଦଏ।
audience.carousel.0.body	Audience	Boards, entrances, and campus life—grammar and speaking that fits syllabi, with Odia-friendly clarity when concepts get dense.	ବୋର୍ଡ, ପ୍ରବେଶ ଓ କ୍ୟାମ୍ପସ୍—ବ୍ୟାକରଣ ଓ ବୋଲିବା ଯାହା ସିଲେବସ୍ ସହ ମେଳେ; କଠିନ ଧାରଣା ପାଇଁ ଓଡ଼ିଆ-ସହାୟ ସ୍ପଷ୍ଟତା।
audience.carousel.0.title	Audience	School & college students	ସ୍କୁଲ ଓ କଲେଜ ଛାତ୍ର
audience.carousel.1.body	Audience	Interviews, group discussion, and exam English—structured practice so anxiety does not decide your score.	ସାକ୍ଷାତ, ଗ୍ରୁପ ଡିସକସନ୍, ପରୀକ୍ଷା ଇଂରାଜୀ—ଗଠିତ ଅଭ୍ୟାସ ଯାହା ଦ୍ୱାରା ଭୟ ନୁହେଁ ନମ୍ବର ନିର୍ଦ୍ଧାରଣ କରେ।
audience.carousel.1.title	Audience	Job seekers & exam aspirants	ଚାକିରି ଓ ପରୀକ୍ଷା ପ୍ରସ୍ତୁତି
